date,exercise_name,set_order,weight,reps
2020-01-21,Bench Press (Barbell),1,100.0,8
2020-01-21,Bench Press (Barbell),2,100.0,8
2020-01-21,Bench Press (Barbell),3,90.0,8
2020-01-21,Bench Press (Barbell),4,90.0,8
2020-01-21,Overhead Press (Barbell),1,40.0,8
2020-01-21,Overhead Press (Barbell),2,40.0,8
2020-01-21,Overhead Press (Barbell),3,40.0,7
2020-01-21,Overhead Press (Barbell),4,40.0,7
2020-01-21,Triceps Dip (Assisted),1,70.0,15
2020-01-21,Triceps Dip (Assisted),2,100.0,9
2020-01-21,Triceps Dip (Assisted),3,100.0,10
2020-01-21,Lateral Raise (Dumbbell),1,25.0,8
2020-01-21,Lateral Raise (Dumbbell),2,25.0,8
2020-01-21,Lateral Raise (Dumbbell),3,25.0,8
2020-01-21,Bench Press (Cable),1,70.0,10
2020-01-21,Bench Press (Cable),2,90.0,10
2020-01-21,Bench Press (Cable),3,100.0,10
2020-01-21,Lateral Raise (Cable),1,30.0,10
2020-01-21,Lateral Raise (Cable),2,30.0,10
2020-01-21,Lateral Raise (Cable),3,30.0,8
2020-01-22,Chin Up,1,0.0,6
2020-01-22,Chin Up,2,0.0,6
2020-01-22,Chin Up,3,0.0,2
2020-01-22,Chin Up,4,0.0,3
2020-01-22,Bent Over Row - Underhand (Barbell),1,50.0,10
2020-01-22,Bent Over Row - Underhand (Barbell),2,50.0,9
2020-01-22,Bent Over Row - Underhand (Barbell),3,55.0,9
2020-01-22,Bent Over Row - Underhand (Barbell),4,50.0,10
2020-01-22,Preacher Curl (Machine),1,50.0,10
2020-01-22,Preacher Curl (Machine),2,50.0,10
2020-01-22,Preacher Curl (Machine),3,50.0,10
2020-01-22,Face Pull (Cable),1,40.0,10
2020-01-22,Face Pull (Cable),2,40.0,10
2020-01-22,Face Pull (Cable),3,40.0,10
2020-01-22,Face Pull (Cable),4,40.0,10
2020-01-22,Bicep Curl (Dumbbell),1,50.0,5
2020-01-22,Bicep Curl (Dumbbell),2,50.0,5
2020-01-22,Bicep Curl (Dumbbell),3,30.0,10
2020-01-22,Lat Pulldown - Wide Grip (Cable),1,60.0,8
2020-01-22,Lat Pulldown - Wide Grip (Cable),2,60.0,8
2020-01-22,Lat Pulldown - Wide Grip (Cable),3,60.0,9
2020-01-22,Seated Row (Cable),1,50.0,10
2020-01-22,Seated Row (Cable),2,50.0,10
2020-01-22,Squat (Barbell),1,90.0,10
2020-01-22,Squat (Barbell),2,100.0,10
2020-01-22,Squat (Barbell),3,100.0,10
2020-01-22,Stiff Leg Deadlift (Barbell),1,110.0,9
2020-01-22,Stiff Leg Deadlift (Barbell),2,120.0,9
2020-01-22,Stiff Leg Deadlift (Barbell),3,120.0,9
2020-01-22,Stiff Leg Deadlift (Barbell),4,110.0,9
2020-01-22,Seated Calf Raise (Machine),1,90.0,10
2020-01-22,Seated Calf Raise (Machine),2,135.0,8
2020-01-22,Seated Calf Raise (Machine),3,90.0,10
2020-01-22,Lying Leg Curl (Machine),1,100.0,10
2020-01-22,Lying Leg Curl (Machine),2,110.0,10
2020-01-22,Lying Leg Curl (Machine),3,110.0,10
2020-01-22,Leg Press,1,180.0,9
2020-01-22,Leg Press,2,200.0,8
2020-01-22,Leg Press,3,200.0,8
2020-01-22,Standing Calf Raise (Smith Machine),1,450.0,10
2020-01-22,Standing Calf Raise (Smith Machine),2,540.0,8
2020-01-22,Standing Calf Raise (Smith Machine),3,540.0,8
2020-01-26,Bicep Curl (Barbell),1,50.0,10
2020-01-26,Bicep Curl (Barbell),2,50.0,10
2020-01-26,Bicep Curl (Barbell),3,50.0,10
2020-01-26,Shoulder Press (Machine),1,70.0,10
2020-01-26,Shoulder Press (Machine),2,70.0,8
2020-01-26,Shoulder Press (Machine),3,70.0,8
2020-01-26,Triceps Extension (Cable),1,40.0,10
2020-01-26,Triceps Extension (Cable),2,40.0,10
2020-01-26,Triceps Extension (Cable),3,40.0,10
2020-01-26,Lat Pulldown (Machine),1,70.0,10
2020-01-26,Lat Pulldown (Machine),2,70.0,10
2020-01-26,Lat Pulldown (Machine),3,70.0,10
2020-01-26,Iso-Lateral Row (Machine),1,70.0,10
2020-01-26,Iso-Lateral Row (Machine),2,70.0,10
2020-01-26,Iso-Lateral Row (Machine),3,70.0,10
2020-01-26,Iso-Lateral Chest Press (Machine),1,90.0,10
2020-01-26,Iso-Lateral Chest Press (Machine),2,90.0,10
2020-01-26,Iso-Lateral Chest Press (Machine),3,90.0,10
2020-01-26,Cable Crossover,1,40.0,10
2020-01-26,Cable Crossover,2,40.0,10
2020-01-26,Cable Crossover,3,40.0,10
2020-01-26,Bicep Curl (Machine),1,50.0,10
2020-01-26,Bicep Curl (Machine),2,50.0,10
2020-01-26,Bicep Curl (Machine),3,50.0,10
2020-01-26,Reverse Fly (Machine),1,70.0,10
2020-01-26,Reverse Fly (Machine),2,70.0,10
2020-01-26,Reverse Fly (Machine),3,70.0,10
2020-01-26,Shoulder Press (Machine),1,70.0,10
2020-01-26,Shoulder Press (Machine),2,70.0,10
2020-01-26,Shoulder Press (Machine),3,70.0,10
2020-01-26,Lat Pulldown (Machine),1,70.0,10
2020-01-26,Lat Pulldown (Machine),2,70.0,10
2020-01-26,Lat Pulldown (Machine),3,70.0,10
2020-01-26,Iso-Lateral Row (Machine),1,80.0,8
2020-01-26,Iso-Lateral Row (Machine),2,80.0,8
2020-01-26,Iso-Lateral Row (Machine),3,80.0,8
2020-01-26,Iso-Lateral Chest Press (Machine),1,100.0,8
2020-01-26,Iso-Lateral Chest Press (Machine),2,100.0,8
